"Date","Site","Array","Trap","Predator","Notes","taxon","count"
2010-10-12,"GWA1","1","A4","N",NA,"COLE",4
2010-10-12,"GWA1","1","A4","N",NA,"HYMA",5
2010-10-12,"GWA1","2","A4","N",NA,"COLE",1
2010-10-12,"GWA2","1","A4","Y",NA,"COLE",2
2010-10-12,"GWA2","1","A4","Y",NA,"CRUS",4
2010-10-12,"GWA2","1","A4","Y",NA,"HYMA",3
2010-10-12,"GWA2","1","A4","Y",NA,"SCOR",3
2010-10-12,"GWA2","2","A4","N",NA,"HYMA",3
2010-10-13,"GWA1","1","A4","N",NA,"COLE",3
2010-10-13,"GWA1","1","A4","N",NA,"HYMA",4
2010-10-13,"GWA1","2","A4","N",NA,"COLE",1
2010-10-13,"GWA2","2","A4","Y","COLE(dead)","COLE",1
2010-10-13,"GWA2","2","A4","Y","COLE(dead)","HYMA",5
2010-10-14,"GWA1","1","A4","N",NA,"COLE",4
2010-10-14,"GWA1","1","A4","N",NA,"HYMA",3
2010-10-14,"GWA1","1","A4","N",NA,"SCOR",1
2010-10-14,"GWA1","2","A4","N",NA,"COLE",1
2010-10-14,"GWA2","1","A4","Y",NA,"COLE",7
2010-10-14,"GWA2","1","A4","Y",NA,"HYMA",3
2010-10-14,"GWA2","1","A4","Y",NA,"SCOR",6
2010-10-14,"GWA2","2","A4","Y",NA,"HYMA",2
2010-10-19,"GWA1","1","B4","N",NA,"ARAN",2
2010-10-19,"GWA1","2","B4","N",NA,"ARAN",1
2010-10-19,"GWA1","2","B4","N",NA,"COLE",1
2010-10-19,"GWA2","1","B4","N",NA,"COLE",2
2010-10-19,"GWA2","1","B4","N",NA,"HYMA",5
2010-10-19,"GWA2","2","B4","N",NA,"ARAN",2
2010-10-19,"GWA2","2","B4","N",NA,"COLE",5
2010-10-19,"GWA2","2","B4","N",NA,"CRUS",2
2010-10-19,"GWA2","2","B4","N",NA,"HYMA",20
2010-10-19,"GWA2","2","B4","N",NA,"ORTH",1
2010-10-20,"GWA1","1","B4","N",NA,"ARAN",1
2010-10-20,"GWA1","1","B4","N",NA,"COLE",4
2010-10-20,"GWA1","1","B4","N",NA,"HYMA",1
2010-10-20,"GWA1","2","B4","N","ORTH(dead)","COLE",5
2010-10-20,"GWA1","2","B4","N","ORTH(dead)","HYMA",1
2010-10-20,"GWA1","2","B4","N","ORTH(dead)","ORTH",1
2010-10-20,"GWA2","1","B4","N",NA,"COLE",1
2010-10-20,"GWA2","1","B4","N",NA,"HYMA",20
2010-10-20,"GWA2","2","B4","N",NA,"ARAN",2
2010-10-20,"GWA2","2","B4","N",NA,"COLE",4
2010-10-20,"GWA2","2","B4","N",NA,"HYMA",50
2010-10-20,"GWA2","2","B4","N",NA,"MANT",2
2010-10-20,"GWA2","2","B4","N",NA,"ORTH",1
2010-10-20,"GWA2","2","B4","N",NA,"SCOR",1
2010-10-21,"GWA1","1","B4","N",NA,"COLE",3
2010-10-21,"GWA1","2","B4","N",NA,"COLE",2
2010-10-21,"GWA1","2","B4","N",NA,"HYMA",1
2010-10-21,"GWA2","1","B4","N",NA,"COLE",1
