"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2010-03-30,"GWA1","2","A4","pitfall","Lizard","ASTI","A1B1","N",74,176,11.5,NA,"F",NA,NA,"N","N"
2010-04-01,"GWA1","1","B4","pitfall","Lizard","CADR","A1B1","N",78,96,12,NA,"M",NA,"tail damaged at 81 mm","N","N"
2010-04-06,"GWA1","2","A3","funnel","Lizard","SCMA","B1","N",132,156,30,"weight greater than recorded value","M",NA,"tail damaged at 55 mm, probably around 60 g","N","N"
2010-04-06,"GWA1","2","A2","funnel","Lizard","UTST","A1B1","N",58,87,6.5,NA,"M",85,NA,"N","N"
2010-04-07,"GWA1","1","C2","funnel","Lizard","ASTI","A1B2","N",75,136,10,NA,"F",31,NA,"N","N"
2010-04-12,"GWA1","2","B4","pitfall","Lizard","ASTI","A1B3","N",82,192,14.5,NA,"F",NA,NA,"N","N"
2010-04-12,"GWA1","2","C2","funnel","Lizard","ASTI","A1B4","N",78,180,12,NA,"F",NA,NA,"N","N"
2010-04-13,"GWA1","1","B3","funnel","Lizard","UTST","A1B2","N",54,84,6,NA,"F",NA,"gravid","N","N"
2010-04-14,"GWA1","1","A2","funnel","Lizard","ASTI","A1B5","N",77,199,10,NA,"M",NA,NA,"N","N"
2010-04-14,"GWA1","1","B4","pitfall","Lizard","ASTI","A1C1","N",76,177,10.5,NA,"F",NA,NA,"N","N"
2010-04-14,"GWA1","2","B4","pitfall","Lizard","ASTI","A1C2","N",78,192,12.5,NA,"M",NA,NA,"N","N"
2010-04-14,"GWA1","2","C2","funnel","Lizard","ASTI","A1C3","N",81,147,12,NA,"M",39,NA,"N","N"
2010-04-14,"GWA1","2","A2","funnel","Lizard","UTST","A1B3","N",56,86,5,NA,"F",NA,"gravid","N","N"
2010-04-15,"GWA1","2","C4","pitfall","Lizard","ASTI","A1C5","N",77,186,12.5,NA,"F",NA,NA,"N","N"
2010-04-16,"GWA1","1","A2","funnel","Lizard","ASTI","A2C3","N",86,151,16,NA,"M",145,NA,"N","N"
2010-04-16,"GWA1","2","A1","pitfall","Lizard","ASTI","A1C2","Y",80,191,11.5,NA,"M",NA,NA,"N","N"
2010-04-16,"GWA1","2","B3","funnel","Lizard","ASTI","A1D1","N",84,221,14.5,NA,"M",NA,"bend in tail at 202 mm","N","N"
2010-04-16,"GWA1","2","B2","funnel","Lizard","COVA","A1","N",62,57,4,NA,"M",NA,NA,"N","N"
2010-04-19,"GWA1","1","A4","pitfall","Lizard","ASTI","A1C2D5","N",82,210,16,NA,"M",NA,"mistake on toeclip, made it three toes","N","N"
2010-04-19,"GWA2","1","A3","funnel","Lizard","COVA","A1","N",63,46,4,NA,"M",17,NA,"N","N"
2010-04-19,"GWA2","2","C4","pitfall","Lizard","ASTI","A1B1","N",51,125,2.5,NA,"U",NA,"last year young of year","N","N"
2010-04-19,"GWA2","2","A1","pitfall","Lizard","ASTI","A1B2","N",79,147,10,NA,"F",64,NA,"N","N"
2010-04-19,"GWA2","2","C4","pitfall","Lizard","ASTI","A1B3","N",80,154,12.5,NA,"F",90,NA,"N","N"
2010-04-19,"GWA2","2","A4","pitfall","Lizard","ASTI","A1B4","N",78,150,12.5,NA,"M",70,NA,"N","N"
2010-04-19,"GWA2","2","B2","funnel","Lizard","ASTI","A1B5","N",81,187,13,NA,"F",NA,NA,"N","N"
2010-04-20,"GWA1","1","B3","funnel","Lizard","ASTI","A1C2D5","Y",83,210,15,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA1","1","A4","pitfall","Lizard","SCMA","A1","N",107,101,55,NA,"F",NA,NA,"N","N"
2010-04-20,"GWA1","2","C4","pitfall","Lizard","ASTI","A1D2","N",81,187,12,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA1","2","B2","funnel","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"escaped funnel","N",NA
2010-04-20,"GWA2","1","A4","pitfall","Lizard","SCMA","A1","N",116,158,73,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA2","1","B3","funnel","Lizard","UTST","A1B1","N",50,83,5,NA,"F",NA,"gravid","N","N"
2010-04-20,"GWA2","2","B2","funnel","Lizard","ASTI","A1C1","N",75,186,9.5,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA2","2","C2","funnel","Lizard","ASTI","A1C2","N",77,40,9,NA,"M",40,NA,"N","N"
2010-04-20,"GWA2","2","C3","funnel","Lizard","ASTI","A1C3","N",77,194,12.5,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA2","2","C4","pitfall","Lizard","COVA","A2","N",62,58,3.5,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA2","2","C4","pitfall","Lizard","SCMA","A2","N",107,137,56,NA,"M",NA,NA,"N","N"
2010-04-20,"GWA2","2","A1","pitfall","Lizard","UTST","A1B2","N",52,55,3.5,NA,"F",24,NA,"N","N"
2010-04-21,"GWA1","2","A4","pitfall","Lizard","SCMA","A2","N",63,84,9.5,NA,"F",NA,"last year young of year?","N","N"
2010-04-21,"GWA1","2","C4","pitfall","Lizard","UTST","A1B4","N",59,67,6,NA,"M",32,NA,"N","N"
2010-04-21,"GWA2","1","A1","pitfall","Lizard","ASTI","A1C5a","N",80,183,14,NA,"F",NA,"Individual #1","N","N"
2010-04-21,"GWA2","1","C3","funnel","Lizard","COVA","A3","N",59,53,3,NA,"M",NA,NA,"N","N"
2010-04-22,"GWA1","1","A3","funnel","Lizard","ASTI","A1C2D5","Y",85,207,14.5,NA,"M",NA,NA,"N","N"
2010-04-22,"GWA1","2","A3","funnel","Lizard","ASTI","A1C3","Y",82,139,13,NA,"M",38,NA,"N","N"
2010-04-22,"GWA1","2","C3","funnel","Lizard","ASTI","A1D1","Y",83,219,15,NA,"M",NA,"bump at 200mm","N","N"
2010-04-22,"GWA2","2","C2","funnel","Lizard","ASTI","A1C5b","N",71,145,7.5,NA,"F",101,"Individual #2","N","N"
2010-04-23,"GWA1","2","A2","funnel","Lizard","UTST","A1B1","Y",52,87,5.5,NA,"M",NA,NA,"N","N"
2010-04-23,"GWA2","1","B2","funnel","Lizard","ASTI","A1D1","N",82,144,14,NA,"M",62,NA,"N","N"
2010-04-23,"GWA2","2","B2","funnel","Lizard","ASTI","A1C5c","N",74,191,12,NA,"M",NA,"Individual #3","N","N"
2010-04-23,"GWA2","2","A2","funnel","Lizard","UTST","A1B3","N",48,80,4,NA,"F",NA,"gravid","N","N"
2010-04-23,"GWA2","2","A2","funnel","Lizard","UTST","A1B4","N",55,96,5,NA,"M",75,NA,"N","N"
2010-04-23,"GWA2","2","C2","funnel","Snake","RHLE",NA,NA,NA,NA,66,NA,"U",NA,"took pix, was able to get out of bucket","N","N"
2010-04-25,"GWA1","1","C4","pitfall","Lizard","SCMA","A1","Y",NA,NA,NA,NA,"F",NA,"on top of trap when opening on 4/25/2010","N","N"
2010-04-26,"GWA2","1","B3","funnel","Lizard","ASTI","A1C5a","Y",80,187,12,NA,"F",NA,NA,"N","N"
2010-04-26,"GWA2","1","A1","pitfall","Lizard","SCMA","B1","N",52,66,5,NA,"F",NA,NA,"N","N"
2010-04-26,"GWA2","1","A4","pitfall","Lizard","UTST","A1B5","N",53,73,5,NA,"F",70,"gravid","N","N"
2010-04-26,"GWA2","2","A2","funnel","Lizard","ASTI","A1C1","Y",75,186,10.5,NA,"M",NA,"near trap, startled into trap","N","N"
2010-04-26,"GWA2","2","A1","pitfall","Lizard","UTST","A1B4","Y",49,77,3,NA,"F",NA,NA,"N","N"
2010-04-27,"GWA1","1","B3","funnel","Lizard","ASTI","A1B2","Y",79,139,12,NA,"F",32,"gravid?","N","N"
2010-04-27,"GWA1","1","A4","pitfall","Lizard","ASTI","A1C2","Y",83,211,16,NA,"M",NA,NA,"N","N"
2010-04-27,"GWA1","1","A3","funnel","Lizard","ASTI","A1C3","Y",87,151,15,NA,"M",45,NA,"N","N"
2010-04-27,"GWA1","1","A1","pitfall","Lizard","SCMA","A1","Y",106,104,43,NA,"F",NA,NA,"N","N"
2010-04-27,"GWA1","1","A2","funnel","Lizard","SCMA","A3","N",103,111,49,NA,"F",72,NA,"N","N"
2010-04-27,"GWA1","2","C3","funnel","Lizard","ASTI","A1C3","Y",83,142,13,NA,"M",40,NA,"N","N"
2010-04-27,"GWA1","2","A1","pitfall","Lizard","ASTI","A1D3","N",76,181,9,NA,"F",NA,NA,"N","N"
2010-04-27,"GWA2","1","B4","pitfall","Lizard","ASTI","A1D1","Y",82,147,14,NA,"M",64,"same as in array 1 of 4/27/2010?","N","N"
2010-04-27,"GWA2","1","A3","funnel","Lizard","ASTI","A1D2","N",77,68,10.5,NA,"M",60,NA,"N","N"
2010-04-27,"GWA2","1","B3","funnel","Lizard","ASTI","A1D3","N",80,140,12.5,NA,"M",36,NA,"N","N"
2010-04-27,"GWA2","1","C3","funnel","Lizard","SCMA","A5","N",109,125,58,NA,"F",NA,NA,"N","N"
2010-04-27,"GWA2","2","B2","funnel","Lizard","ASTI","A1B3","Y",79,155,10,NA,"F",89,NA,"N","N"
2010-04-27,"GWA2","2","C2","funnel","Lizard","ASTI","A1C5b","Y",71,152,8.5,NA,"F",105,"Individual #2","N","N"
2010-04-27,"GWA2","2","C4","pitfall","Lizard","ASTI","A1D1","N",74,165,10,NA,"F",NA,NA,"N","N"
2010-04-27,"GWA2","2","B4","pitfall","Lizard","SCMA","A4","N",112,119,65,NA,"F",NA,NA,"N","N"
2010-04-28,"GWA1","1","C4","pitfall","Lizard","SCMA","A1","Y",104,102,43,NA,"F",57,"new handler measurement","N","N"
2010-04-28,"GWA1","2","C2","funnel","Lizard","ASTI","A1D1","Y",84,220,14.5,NA,"M",NA,"tail damage @200","N","N"
2010-04-28,"GWA2","1","A2","funnel","Lizard","COVA","A4a","N",57,55,3.5,NA,"F",NA,NA,"N","N"
2010-04-28,"GWA2","1","B3","funnel","Lizard","SCMA","B1","Y",53,67,4.5,NA,"F",NA,NA,"N","N"
2010-04-28,"GWA2","2","A1","pitfall","Lizard","ASTI","A1C3","Y",78,198,11.5,NA,"M",NA,NA,"N","N"
2010-04-29,"GWA1","1","B2","funnel","Lizard","ASTI","A1C2D5","Y",82,207,14.5,NA,"M",NA,"Bites","N","N"
2010-04-29,"GWA1","1","B4","pitfall","Lizard","SCMA","A4","N",106,142,42,NA,"F",NA,NA,"N","N"
2010-04-29,"GWA2","1","A1","pitfall","Lizard","UTST","A1C1","N",57,101,5,NA,"M",NA,NA,"N","N"
2010-04-29,"GWA2","1","A3","funnel","Snake","RHLE",NA,NA,NA,NA,93,NA,"U",NA,"mainly black and white, bits of red","N","N"
2010-04-29,"GWA2","2","C2","funnel","Lizard","ASTI","A1B2","Y",74,143,7.5,NA,"F",62,NA,"N","N"
2010-04-30,"GWA1","1","A4","pitfall","Lizard","ASTI","A1D5","N",83,195,15,NA,"F",NA,"parasite near B limb (photo); gravid?","N","N"
2010-04-30,"GWA1","2","B2","funnel","Lizard","ASTI","A1C5","Y",77,187,11.5,NA,"F",NA,NA,"N","N"
2010-04-30,"GWA2","2","C4","pitfall","Lizard","ASTI","A1C1","Y",75,187,10.5,NA,"M",NA,NA,"N","N"
2010-04-30,"GWA2","2","C2","funnel","Lizard","ASTI","A1D5","N",77,154,10,NA,"F",79,NA,"N","N"
2010-05-04,"GWA1","1","C4","pitfall","Lizard","SCMA","A1","Y",101,99,44,NA,"F",53,NA,"N","N"
2010-05-04,"GWA1","1","C2","funnel","Lizard","SCMA","A5","N",100,132,50,NA,"F",NA,NA,"N","N"
2010-05-04,"GWA2","1","B3","funnel","Lizard","ASTI","A1C5a","Y",79,182,NA,NA,"F",NA,"escaped before weight taken","N","N"
2010-05-04,"GWA2","1","B3","funnel","Lizard","ASTI","A1D2","Y",76,86,10,NA,"M",60,NA,"N","N"
2010-05-04,"GWA2","1","B2","funnel","Lizard","SCMA","B1","Y",51,67,4.5,NA,"F",NA,NA,"N","N"
2010-05-04,"GWA2","1","B4","pitfall","Lizard","UTST","A1C2","N",50,79,3,NA,"F",48,NA,"N","N"
2010-05-04,"GWA2","2","C2","funnel","Lizard","ASTI","A1B2","Y",73,145,7.5,NA,"F",63,NA,"N","N"
2010-05-04,"GWA2","2","A3","funnel","Lizard","ASTI","A1C1","Y",74,190,9,NA,"M",NA,NA,"N","N"
2010-05-04,"GWA2","2","A3","funnel","Lizard","ASTI","A1C3","Y",77,197,11.5,NA,"M",NA,NA,"N","N"
2010-05-05,"GWA1","1","B2","funnel","Lizard","ASTI","A1B2","Y",76,139,9.5,NA,"F",32,NA,"N","N"
2010-05-05,"GWA1","1","A4","pitfall","Lizard","SCMA","B2","N",125,167,85,NA,"M",139,NA,"N","N"
2010-05-05,"GWA1","2","C3","funnel","Lizard","ASTI","A1D1","Y",83,219,15,NA,"M",NA,"spur @200","N","N"
2010-05-05,"GWA2","1","B3","funnel","Lizard","ASTI","A2B2","N",75,110,11.5,NA,"M",92,NA,"N","N"
2010-05-05,"GWA2","1","B4","pitfall","Lizard","UTST","A1C3","N",NA,NA,NA,NA,"M",NA,"escaped","N","N"
2010-05-05,"GWA2","2","A2","funnel","Lizard","ASTI","A1C5b","Y",71,151,8,NA,"F",105,"Individual #2","N","N"
2010-05-05,"GWA2","2","C3","funnel","Lizard","ASTI","A2B1","N",78,169,12.5,NA,"M",79,NA,"N","N"
2010-05-06,"GWA1","1","C4","pitfall","Lizard","SCMA","A1","Y",105,103,47,NA,"F",NA,NA,"N","N"
2010-05-06,"GWA1","2","A3","funnel","Lizard","SCMA","A1B1","N",80,86,16,NA,"M",79,"small post-anal scales","N","N"
2010-05-06,"GWA2","1","A3","funnel","Lizard","ASTI","A1D3","Y",80,141,12.5,NA,"M",36,"shedding","N","N"
2010-05-06,"GWA2","1","B4","pitfall","Lizard","ASTI","A2B4","N",77,151,11.5,NA,"F",56,NA,"N","N"
2010-05-06,"GWA2","2","A2","funnel","Lizard","ASTI","A2B3","N",76,201,11,NA,"M",NA,NA,"N","N"
2010-05-06,"GWA2","2","A4","pitfall","Lizard","CADR","A1B1","N",75,87,13,NA,"F",NA,NA,"N","N"
2010-05-07,"GWA1","1","A4","pitfall","Lizard","ASTI","A1C3","Y",87,149,15,NA,"M",44,NA,"N","N"
2010-05-07,"GWA1","1","A1","pitfall","Lizard","COVA","A2","N",58,58,4,NA,"M",NA,NA,"N","N"
2010-05-07,"GWA1","1","C3","funnel","Lizard","UTST","A1B5","N",50,77,4,NA,"F",NA,"gravid","N","N"
2010-05-07,"GWA2","1","A2","funnel","Lizard","ASTI","A2B4","N",79,184,10.5,NA,"F",132,NA,"N","N"
2010-05-07,"GWA2","1","B2","funnel","Lizard","ASTI","A2B5","N",80,150,12.5,NA,"F",49,"gravid","N","N"
2010-05-07,"GWA2","2","B2","funnel","Lizard","ASTI","A2B1","Y",78,170,11.5,NA,"M",80,"bump @105","N","N"
2010-05-07,"GWA2","2","A2","funnel","Lizard","ASTI","A2B4","N",75,190,10.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B1","N",69,187,8.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA1","1","A1","pitfall","Lizard","CADR","A1B2","N",30,36,0.75,NA,"M",NA,NA,"N","Y"
2010-10-12,"GWA2","1","A1","pitfall","Lizard","ASTI","A2C1","N",69,160,7.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA2","1","A4","pitfall","Lizard","COVA","A5","N",35,36,0.5,NA,"M",NA,NA,"N","N"
2010-10-12,"GWA2","1","A4","pitfall","Lizard","UTST","A1D2","N",43,63,2.5,NA,"F",NA,NA,"N","N"
2010-10-12,"GWA2","2","A2","funnel","Lizard","SCMA","B2","N",37,51,1.5,NA,"M",NA,NA,"N","Y"
2010-10-12,"GWA2","2","B2","funnel","Lizard","UTST","A1C5","N",44,55,2.5,NA,"F",43,"chased into trap","N","N"
2010-10-12,"GWA2","2","C2","funnel","Lizard","UTST","A1D1","N",55,72,4.75,NA,"M",34,NA,"N","N"
2010-10-13,"GWA2","1","A1","pitfall","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"YOY, DIT, ants eating it","Y",NA
