MAJOR_GROUP,TAXON,STATE,ORIGIN,SOURCE,NO.,SIZE_CLASS_[MM],MEAN_LENGTH_[MM],TOTAL_WET_WT_[MG],TOTAL_DRY_WT_[MG],INDIVIDUAL_WET_WT_[MG],INDIVIDUAL_DRY_WT_[MG]
Insecta, Diptera; Chironomidae;  Orthocladinae sp.,larva,LEF El Verde [2005],f,350,5-Apr,4.5,122,11,0.35,0.031
Insecta, Diptera; Chironomidae;  Orthocladinae sp.,larva,LEF El Verde [2005],f,44,7-May,6,44,,1,
Insecta, Diptera; Chironomidae;  Orthocladinae sp.,larva,LEF El Verde [2006],f,39,12-Oct,11,,16.27,,0.417
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,2,6,6,3,,1.5,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [1996],a,58,9-Jun,7.5,32.5,23.8,0.56,0.41
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,8,8,6,,2,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,5,8,8,11,,2.2,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,9,9,9,17,2,1.89,0.222
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,4,10,10,15,,3.75,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,10,10,13,,4.33,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,6,12-Oct,11,40,5,6.67,0.833
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,11,11,31,,10.3,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,3,12,12,17,2,5.67,0.667
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,1,12,12,6,,6,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,12,12,23,,7.67,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,2,12,12,17,,8.5,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [1996],a,56,15-Oct,12.5,164.1,55.4,2.93,0.989
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,1,14,14,13,,13,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,4,15,15,55,8,13.8,2
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,5,15,15,66,8,13.2,1.6
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,5,15,15,47,,9.4,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,15,15,31,,10.3,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,2,15,15,22,,11,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,6,15,15,79,,13.2,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,1,16,16,17,,17,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,3,17,17,48,,16,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,1,18,18,16,3,16,3
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [2004],f,2,19,19,38,,19,
Insecta, Diptera; Tipulidae;  Trentepohlia dominicana,larva,LEF El Verde [],f,4,20,20,85,17,21.3,4.25
Insecta, Diptera; Tipulidae;  Trentepohlia sp.,larva,LEF El Verde [1996],a,68,5-Mar,4,8.8,7.5,0.129,0.11
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [1999],f,53,2,2,,11,,0.208
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,2,2.75,2.75,5,2,2.5,1
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,2,4,4,12,3,6,1.5
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,7,4,4,26,8,3.71,1.14
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,4,4,4,1.1,4,1.1
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,4,4.5,4.5,19,4,4.75,1
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,5,5,7,2,7,2
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,5.5,5.5,10,2.9,10,2.9
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,8.5,8.5,21,5,21,5
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,9,9,24,7,24,7
Insecta, Diptera; fly;  unident.; ,adult,LEF El Verde [2001],f,1,10,10,33,10,33,10
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,16,2,2,,2,,0.125
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,4,3,3,,0.8,,0.2
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,3.5,3.5,2,0.65,2,0.65
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,3,4,4,,3,,1
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,5,4,4,10,4,2,0.8
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,4,4,4,11,3,2.75,0.75
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,4,5,5,22,10,5.5,2.5
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,3,5,5,16,5,5.33,1.67
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,2,5,5,10,3,5,1.5
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,2,5,5,,3,,1.5
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,14,5,5,53,18,3.79,1.29
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,5,5,3,1,3,1
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,5,5,3,1,3,1
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,3,5.5,5.5,17,4,5.67,1.33
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,2,6,6,12,5,6,2.5
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,3,6,6,15,6,5,2
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,6,6,6,36,12,6,2
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,9,6,6,46,15,5.11,1.67
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,3,6,6,16,5,5.33,1.67
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,6,6,4,1.35,4,1.35
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,7,7,11,4,11,4
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,2,7,7,18,6,9,3
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,7,7,12,3,12,3
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,7,7,5,2,5,2
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,7,7,6,2,6,2
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,2,8,8,22,6,11,3
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,10,10,22,9,22,9
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,10,10,29,8,29,8
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,10,10,25,7,25,7
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,11,11,43,12,43,12
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,12,12,25,8,25,8
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,13,13,29,10,29,10
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,15,15,55,22,55,22
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,16,16,26,7,26,7
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,17,17,99,37,99,37
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,17,17,83,26,83,26
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,17,17,26,7,26,7
Insecta, Lepidoptera; moth;  unident.; ,adult,LEF El Verde [2001],f,1,18,18,89,27,89,27
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,adult,LEF El Verde [1996],a,10,2-Jan,1.5,3.7,0.6,0.37,0.06
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,adult,LEF El Verde [1996],f,3,2-Jan,1.5,2,0.1,0.667,0.033
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,adult,LEF El Verde [1996],a,16,3,3,20,6.1,1.25,0.381
